planetName,hostName,defaultParameterSet,starsNu,planetsNu,discMethod,discYear,discFacility,solutionType
OGLE-2018-BLG-0596L b,OGLE-2018-BLG-0596L,0,1,1,Microlensing,2019,OGLE,Published Confirmed
OGLE-2018-BLG-0740L b,OGLE-2018-BLG-0740L,0,1,1,Microlensing,2019,OGLE,Published Confirmed
OGLE-2018-BLG-0740L b,OGLE-2018-BLG-0740L,0,1,1,Microlensing,2019,OGLE,Published Confirmed
OGLE-2018-BLG-0740L b,OGLE-2018-BLG-0740L,0,1,1,Microlensing,2019,OGLE,Published Confirmed
OGLE-2018-BLG-0740L b,OGLE-2018-BLG-0740L,1,1,1,Microlensing,2019,OGLE,Published Confirmed
OGLE-2018-BLG-0740L b,OGLE-2018-BLG-0740L,0,1,1,Microlensing,2019,OGLE,Published Confirmed
OGLE-2018-BLG-0740L b,OGLE-2018-BLG-0740L,0,1,1,Microlensing,2019,OGLE,Published Confirmed
OGLE-2018-BLG-1011L b,OGLE-2018-BLG-1011L,0,1,2,Microlensing,2019,OGLE,Published Confirmed
OGLE-2018-BLG-1011L b,OGLE-2018-BLG-1011L,0,1,2,Microlensing,2019,OGLE,Published Confirmed
OGLE-2018-BLG-1011L b,OGLE-2018-BLG-1011L,0,1,2,Microlensing,2019,OGLE,Published Confirmed
OGLE-2018-BLG-1011L b,OGLE-2018-BLG-1011L,1,1,2,Microlensing,2019,OGLE,Published Confirmed
OGLE-2018-BLG-1011L c,OGLE-2018-BLG-1011L,0,1,2,Microlensing,2019,OGLE,Published Confirmed
OGLE-2018-BLG-1011L c,OGLE-2018-BLG-1011L,1,1,2,Microlensing,2019,OGLE,Published Confirmed
OGLE-2018-BLG-1011L c,OGLE-2018-BLG-1011L,0,1,2,Microlensing,2019,OGLE,Published Confirmed
OGLE-2018-BLG-1011L c,OGLE-2018-BLG-1011L,0,1,2,Microlensing,2019,OGLE,Published Confirmed
PDS 70 c,PDS 70,1,1,2,Imaging,2019,European Southern Observatory,Published Confirmed
PDS 70 c,PDS 70,0,1,2,Imaging,2019,European Southern Observatory,Published Confirmed
Qatar-10 b,Qatar-10,0,1,1,Transit,2019,Qatar,Published Confirmed
Qatar-10 b,Qatar-10,1,1,1,Transit,2019,Qatar,Published Confirmed
Qatar-10 b,Qatar-10,0,1,1,Transit,2019,Qatar,Published Confirmed
Qatar-10 b,Qatar-10,0,1,1,Transit,2019,Qatar,Published Confirmed
Qatar-10 b,Qatar-10,0,1,1,Transit,2019,Qatar,TESS Project Candidate
Qatar-7 b,Qatar-7,0,1,1,Transit,2019,Qatar,Published Confirmed
Qatar-7 b,Qatar-7,0,1,1,Transit,2019,Qatar,TESS Project Candidate
Qatar-7 b,Qatar-7,1,1,1,Transit,2019,Qatar,Published Confirmed
Qatar-7 b,Qatar-7,0,1,1,Transit,2019,Qatar,Published Confirmed
Qatar-8 b,Qatar-8,1,1,1,Transit,2019,Qatar,Published Confirmed
Qatar-8 b,Qatar-8,0,1,1,Transit,2019,Qatar,Published Confirmed
Qatar-8 b,Qatar-8,0,1,1,Transit,2019,Qatar,Published Confirmed
Qatar-8 b,Qatar-8,0,1,1,Transit,2019,Qatar,TESS Project Candidate
Qatar-8 b,Qatar-8,0,1,1,Transit,2019,Qatar,Published Confirmed
Qatar-9 b,Qatar-9,0,1,1,Transit,2019,Qatar,Published Confirmed
Qatar-9 b,Qatar-9,0,1,1,Transit,2019,Qatar,TESS Project Candidate
Qatar-9 b,Qatar-9,0,1,1,Transit,2019,Qatar,Published Confirmed
Qatar-9 b,Qatar-9,1,1,1,Transit,2019,Qatar,Published Confirmed
TOI-125 b,TOI-125,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-125 b,TOI-125,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-125 b,TOI-125,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-125 b,TOI-125,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-125 c,TOI-125,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-125 c,TOI-125,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-125 c,TOI-125,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-125 c,TOI-125,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-150.01,TOI-150,0,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-150.01,TOI-150,0,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-150.01,TOI-150,0,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-150.01,TOI-150,1,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-163 b,TOI-163,0,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-163 b,TOI-163,1,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-163 b,TOI-163,0,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-172 b,TOI-172,0,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-172 b,TOI-172,0,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-172 b,TOI-172,1,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-216.01,TOI-216,0,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-216.01,TOI-216,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-216.01,TOI-216,0,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-216.01,TOI-216,0,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-216.02,TOI-216,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-216.02,TOI-216,0,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-216.02,TOI-216,0,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-216.02,TOI-216,0,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-270 b,TOI-270,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-270 b,TOI-270,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-270 b,TOI-270,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-270 b,TOI-270,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-270 c,TOI-270,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-270 c,TOI-270,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-270 c,TOI-270,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-270 c,TOI-270,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-270 d,TOI-270,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-270 d,TOI-270,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-270 d,TOI-270,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-270 d,TOI-270,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-270 d,TOI-270,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
Teegarden's Star b,Teegarden's Star,1,1,3,Radial Velocity,2019,Calar Alto Observatory,Published Confirmed
Teegarden's Star b,Teegarden's Star,0,1,3,Radial Velocity,2019,Calar Alto Observatory,Published Confirmed
Teegarden's Star c,Teegarden's Star,1,1,3,Radial Velocity,2019,Calar Alto Observatory,Published Confirmed
Teegarden's Star c,Teegarden's Star,0,1,3,Radial Velocity,2019,Calar Alto Observatory,Published Confirmed
USco1556 b,USco1556 A,1,1,1,Imaging,2019,Multiple Observatories,Published Confirmed
USco1621 b,USco1621 A,1,1,1,Imaging,2019,Multiple Observatories,Published Confirmed
V1298 Tau b,V1298 Tau,1,3,4,Transit,2019,K2,Published Confirmed
V1298 Tau b,V1298 Tau,0,3,4,Transit,2019,K2,Published Confirmed
V1298 Tau b,V1298 Tau,0,3,4,Transit,2019,K2,Published Confirmed
V1298 Tau b,V1298 Tau,0,3,4,Transit,2019,K2,Published Confirmed
V1298 Tau b,V1298 Tau,0,3,4,Transit,2019,K2,Published Confirmed
V1298 Tau c,V1298 Tau,0,3,4,Transit,2019,K2,Published Confirmed
V1298 Tau c,V1298 Tau,0,3,4,Transit,2019,K2,Published Confirmed
V1298 Tau c,V1298 Tau,1,3,4,Transit,2019,K2,Published Confirmed
V1298 Tau c,V1298 Tau,0,3,4,Transit,2019,K2,Published Confirmed
V1298 Tau d,V1298 Tau,0,3,4,Transit,2019,K2,Published Confirmed
V1298 Tau d,V1298 Tau,0,3,4,Transit,2019,K2,Published Confirmed
V1298 Tau d,V1298 Tau,1,3,4,Transit,2019,K2,Published Confirmed
V1298 Tau e,V1298 Tau,0,3,4,Transit,2019,K2,Published Confirmed
V1298 Tau e,V1298 Tau,0,3,4,Transit,2019,K2,Published Confirmed
V1298 Tau e,V1298 Tau,1,3,4,Transit,2019,K2,Published Confirmed
V1298 Tau e,V1298 Tau,0,3,4,Transit,2019,K2,Published Confirmed
WASP-126 c,WASP-126,1,1,2,Transit Timing Variations,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
WASP-166 b,WASP-166,0,1,1,Transit,2019,WASP-South,TESS Project Candidate
WASP-166 b,WASP-166,0,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-166 b,WASP-166,1,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-166 b,WASP-166,0,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-169 b,WASP-169,0,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-169 b,WASP-169,0,1,1,Transit,2019,WASP-South,TESS Project Candidate
WASP-169 b,WASP-169,1,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-169 b,WASP-169,0,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-169 b,WASP-169,0,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-171 b,WASP-171,0,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-171 b,WASP-171,0,1,1,Transit,2019,WASP-South,TESS Project Candidate
WASP-171 b,WASP-171,1,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-175 b,WASP-175,0,1,1,Transit,2019,WASP-South,TESS Project Candidate
WASP-175 b,WASP-175,0,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-175 b,WASP-175,0,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-175 b,WASP-175,1,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-177 b,WASP-177,0,1,1,Transit,2019,SuperWASP,Published Confirmed
WASP-177 b,WASP-177,0,1,1,Transit,2019,SuperWASP,TESS Project Candidate
WASP-177 b,WASP-177,1,1,1,Transit,2019,SuperWASP,Published Confirmed
WASP-177 b,WASP-177,0,1,1,Transit,2019,SuperWASP,Published Confirmed
WASP-178 b,WASP-178,1,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-178 b,WASP-178,0,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-178 b,WASP-178,0,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-178 b,WASP-178,0,1,1,Transit,2019,WASP-South,TESS Project Candidate
WASP-18 c,WASP-18,1,2,2,Transit Timing Variations,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
WASP-180 A b,WASP-180 A,0,2,1,Transit,2019,SuperWASP,Published Confirmed
WASP-180 A b,WASP-180 A,0,2,1,Transit,2019,SuperWASP,Published Confirmed
WASP-180 A b,WASP-180 A,0,2,1,Transit,2019,SuperWASP,TESS Project Candidate
WASP-180 A b,WASP-180 A,1,2,1,Transit,2019,SuperWASP,Published Confirmed
WASP-181 b,WASP-181,1,1,1,Transit,2019,SuperWASP,Published Confirmed
WASP-181 b,WASP-181,0,1,1,Transit,2019,SuperWASP,TESS Project Candidate
WASP-181 b,WASP-181,0,1,1,Transit,2019,SuperWASP,Published Confirmed
WASP-181 b,WASP-181,0,1,1,Transit,2019,SuperWASP,Published Confirmed
WASP-182 b,WASP-182,0,1,1,Transit,2019,WASP-South,TESS Project Candidate
WASP-182 b,WASP-182,1,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-182 b,WASP-182,0,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-182 b,WASP-182,0,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-183 b,WASP-183,1,1,1,Transit,2019,SuperWASP,Published Confirmed
WASP-183 b,WASP-183,0,1,1,Transit,2019,SuperWASP,Published Confirmed
WASP-183 b,WASP-183,0,1,1,Transit,2019,SuperWASP,Published Confirmed
WASP-183 b,WASP-183,0,1,1,Transit,2019,SuperWASP,TESS Project Candidate
WASP-184 b,WASP-184,1,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-184 b,WASP-184,0,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-184 b,WASP-184,0,1,1,Transit,2019,WASP-South,TESS Project Candidate
WASP-185 b,WASP-185,1,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-190 b,WASP-190,0,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-190 b,WASP-190,0,1,1,Transit,2019,WASP-South,TESS Project Candidate
WASP-190 b,WASP-190,1,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-190 b,WASP-190,0,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-190 b,WASP-190,0,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-192 b,WASP-192,0,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-192 b,WASP-192,1,1,1,Transit,2019,WASP-South,Published Confirmed
WASP-192 b,WASP-192,0,1,1,Transit,2019,WASP-South,TESS Project Candidate
WASP-192 b,WASP-192,0,1,1,Transit,2019,WASP-South,Published Confirmed
XO-7 b,XO-7,1,1,1,Transit,2019,XO,Published Confirmed
XO-7 b,XO-7,0,1,1,Transit,2019,XO,Published Confirmed
XO-7 b,XO-7,0,1,1,Transit,2019,XO,Published Confirmed
XO-7 b,XO-7,0,1,1,Transit,2019,XO,TESS Project Candidate
XO-7 b,XO-7,0,1,1,Transit,2019,XO,Published Confirmed
bet Pic c,bet Pic,1,1,2,Radial Velocity,2019,La Silla Observatory,Published Confirmed
bet Pic c,bet Pic,0,1,2,Radial Velocity,2019,La Silla Observatory,Published Confirmed
eps Ind A b,eps Ind A,1,3,1,Radial Velocity,2019,La Silla Observatory,Published Confirmed
eps Ind A b,eps Ind A,0,3,1,Radial Velocity,2019,La Silla Observatory,Published Confirmed
24 Boo b,24 Boo,0,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,Published Confirmed
24 Boo b,24 Boo,1,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,Published Confirmed
2MASS J0249-0557 c,2MASS J0249-0557 A,1,2,1,Imaging,2018,Mauna Kea Observatory,Published Confirmed
BD+48 740 b,BD+48 740,1,1,1,Radial Velocity,2018,Multiple Observatories,Published Confirmed
CoRoT-20 c,CoRoT-20,1,1,2,Radial Velocity,2018,Multiple Observatories,Published Confirmed
DE CVn b,DE CVn,1,2,1,Eclipse Timing Variations,2018,Multiple Facilities,Published Confirmed
EPIC 211945201 b,EPIC 211945201,1,1,1,Transit,2018,K2,Published Confirmed
EPIC 211945201 b,EPIC 211945201,0,1,1,Transit,2018,K2,Published Confirmed
EPIC 211945201 b,EPIC 211945201,0,1,1,Transit,2018,K2,Published Candidate
EPIC 211945201 b,EPIC 211945201,0,1,1,Transit,2018,K2,TESS Project Candidate
EPIC 211945201 b,EPIC 211945201,0,1,1,Transit,2018,K2,Published Candidate
EPIC 211945201 b,EPIC 211945201,0,1,1,Transit,2018,K2,Published Confirmed
EPIC 211945201 b,EPIC 211945201,0,1,1,Transit,2018,K2,Published Candidate
EPIC 211945201 b,EPIC 211945201,0,1,1,Transit,2018,K2,Published Candidate
EPIC 211945201 b,EPIC 211945201,0,1,1,Transit,2018,K2,Published Candidate
EPIC 211945201 b,EPIC 211945201,0,1,1,Transit,2018,K2,Published Candidate
EPIC 246851721 b,EPIC 246851721,1,2,1,Transit,2018,K2,Published Confirmed
EPIC 246851721 b,EPIC 246851721,0,2,1,Transit,2018,K2,Published Confirmed
EPIC 246851721 b,EPIC 246851721,0,2,1,Transit,2018,K2,TESS Project Candidate
EPIC 248847494 b,EPIC 248847494,1,1,1,Transit,2018,K2,Published Confirmed
GJ 1132 c,GJ 1132,1,1,2,Radial Velocity,2018,La Silla Observatory,Published Confirmed
GJ 1265 b,GJ 1265,1,1,1,Radial Velocity,2018,Calar Alto Observatory,Published Confirmed
GJ 15 A c,GJ 15 A,1,2,2,Radial Velocity,2018,Roque de los Muchachos Observatory,Published Confirmed
GJ 317 c,GJ 317,0,1,2,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
GJ 317 c,GJ 317,0,1,2,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
GJ 317 c,GJ 317,1,1,2,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
GJ 317 c,GJ 317,0,1,2,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
GJ 3779 b,GJ 3779,1,1,1,Radial Velocity,2018,Calar Alto Observatory,Published Confirmed
GJ 96 b,GJ 96,1,1,1,Radial Velocity,2018,Haute-Provence Observatory,Published Confirmed
Gl 686 b,Gl 686,0,1,1,Radial Velocity,2018,Roque de los Muchachos Observatory,Published Confirmed
Gl 686 b,Gl 686,0,1,1,Radial Velocity,2018,Roque de los Muchachos Observatory,Published Confirmed
Gl 686 b,Gl 686,1,1,1,Radial Velocity,2018,Roque de los Muchachos Observatory,Published Confirmed
HAT-P-11 c,HAT-P-11,0,1,2,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
HAT-P-11 c,HAT-P-11,1,1,2,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
HATS-36 b,HATS-36,0,1,1,Transit,2018,HATSouth,Published Candidate
HATS-36 b,HATS-36,0,1,1,Transit,2018,HATSouth,Published Candidate
HATS-36 b,HATS-36,1,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-36 b,HATS-36,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-39 b,HATS-39,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-39 b,HATS-39,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-39 b,HATS-39,0,1,1,Transit,2018,HATSouth,TESS Project Candidate
HATS-39 b,HATS-39,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-39 b,HATS-39,1,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-40 b,HATS-40,0,1,1,Transit,2018,HATSouth,TESS Project Candidate
HATS-40 b,HATS-40,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-40 b,HATS-40,1,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-40 b,HATS-40,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-41 b,HATS-41,1,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-41 b,HATS-41,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-41 b,HATS-41,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-41 b,HATS-41,0,1,1,Transit,2018,HATSouth,TESS Project Candidate
HATS-41 b,HATS-41,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-42 b,HATS-42,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-42 b,HATS-42,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-42 b,HATS-42,1,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-42 b,HATS-42,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-42 b,HATS-42,0,1,1,Transit,2018,HATSouth,TESS Project Candidate
HATS-43 b,HATS-43,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-43 b,HATS-43,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-43 b,HATS-43,0,1,1,Transit,2018,HATSouth,TESS Project Candidate
HATS-43 b,HATS-43,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-43 b,HATS-43,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-43 b,HATS-43,1,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-44 b,HATS-44,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-44 b,HATS-44,1,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-44 b,HATS-44,0,1,1,Transit,2018,HATSouth,TESS Project Candidate
HATS-45 b,HATS-45,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-45 b,HATS-45,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-45 b,HATS-45,0,1,1,Transit,2018,HATSouth,TESS Project Candidate
HATS-45 b,HATS-45,1,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-45 b,HATS-45,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-46 b,HATS-46,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-46 b,HATS-46,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-46 b,HATS-46,0,1,1,Transit,2018,HATSouth,TESS Project Candidate
HATS-46 b,HATS-46,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-46 b,HATS-46,1,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-59 b,HATS-59,0,1,2,Transit,2018,HATSouth,Published Confirmed
HATS-59 b,HATS-59,1,1,2,Transit,2018,HATSouth,Published Confirmed
HATS-59 b,HATS-59,0,1,2,Transit,2018,HATSouth,TESS Project Candidate
HATS-59 c,HATS-59,1,1,2,Radial Velocity,2018,HATSouth,Published Confirmed
HATS-60 b,HATS-60,1,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-60 b,HATS-60,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-60 b,HATS-60,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-60 b,HATS-60,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-60 b,HATS-60,0,1,1,Transit,2018,HATSouth,TESS Project Candidate
HATS-61 b,HATS-61,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-61 b,HATS-61,0,1,1,Transit,2018,HATSouth,TESS Project Candidate
HATS-61 b,HATS-61,1,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-62 b,HATS-62,1,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-63 b,HATS-63,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-63 b,HATS-63,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-63 b,HATS-63,0,1,1,Transit,2018,HATSouth,TESS Project Candidate
HATS-63 b,HATS-63,1,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-64 b,HATS-64,1,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-64 b,HATS-64,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-64 b,HATS-64,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-64 b,HATS-64,0,1,1,Transit,2018,HATSouth,TESS Project Candidate
HATS-65 b,HATS-65,0,2,1,Transit,2018,HATSouth,Published Confirmed
HATS-65 b,HATS-65,1,2,1,Transit,2018,HATSouth,Published Confirmed
HATS-66 b,HATS-66,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-66 b,HATS-66,1,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-66 b,HATS-66,0,1,1,Transit,2018,HATSouth,TESS Project Candidate
HATS-67 b,HATS-67,0,1,1,Transit,2018,HATSouth,TESS Project Candidate
HATS-67 b,HATS-67,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-67 b,HATS-67,1,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-67 b,HATS-67,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-68 b,HATS-68,0,1,1,Transit,2018,HATSouth,TESS Project Candidate
HATS-68 b,HATS-68,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-68 b,HATS-68,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-68 b,HATS-68,1,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-68 b,HATS-68,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-69 b,HATS-69,1,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-69 b,HATS-69,0,1,1,Transit,2018,HATSouth,Published Confirmed
HATS-69 b,HATS-69,0,1,1,Transit,2018,HATSouth,TESS Project Candidate
HATS-69 b,HATS-69,0,1,1,Transit,2018,HATSouth,Published Confirmed
HD 102329 c,HD 102329,1,1,2,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
HD 114783 c,HD 114783,1,1,2,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
HD 114783 c,HD 114783,0,1,2,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
HD 114783 c,HD 114783,0,1,2,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
HD 116029 c,HD 116029,1,2,2,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
HD 126525 b,HD 126525,1,1,1,Radial Velocity,2018,La Silla Observatory,Published Confirmed
HD 13167 b,HD 13167,1,1,1,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
HD 1397 b,HD 1397,0,1,1,Transit,2018,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
HD 1397 b,HD 1397,0,1,1,Transit,2018,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
HD 1397 b,HD 1397,1,1,1,Transit,2018,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
HD 1397 b,HD 1397,0,1,1,Transit,2018,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
HD 14787 b,HD 14787,1,1,1,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
HD 148164 b,HD 148164,1,1,2,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
HD 148164 c,HD 148164,1,1,2,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
HD 156279 c,HD 156279,0,1,2,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
HD 156279 c,HD 156279,1,1,2,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
HD 156279 c,HD 156279,0,1,2,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
HD 158996 b,HD 158996,1,1,1,Radial Velocity,2018,Bohyunsan Optical Astronomical Observatory,Published Confirmed
HD 180053 b,HD 180053,1,1,1,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
HD 18015 b,HD 18015,1,1,1,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
HD 18015 b,HD 18015,0,1,1,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed
HD 180617 b,HD 180617,0,2,1,Radial Velocity,2018,Calar Alto Observatory,Published Confirmed
HD 180617 b,HD 180617,1,2,1,Radial Velocity,2018,Calar Alto Observatory,Published Confirmed
